"UserId","Category","Num_books_for_Category","Spending"
"User_00385","Bambini e Ragazzi",1,60
"User_00386","Bambini e Ragazzi",1,4
"User_00387","Bambini e Ragazzi",1,6
"User_00388","Bambini e Ragazzi",1,72
"User_00389","Bambini e Ragazzi",1,30
"User_00390","Bambini e Ragazzi",1,40
"User_00391","Bambini e Ragazzi",1,59
"User_00392","Bambini e Ragazzi",1,10
"User_00393","Bambini e Ragazzi",1,33
"User_00394","Bambini e Ragazzi",1,10
"User_00395","Bambini e Ragazzi",1,4
"User_00396","Bambini e Ragazzi",4,230
"User_00397","Bambini e Ragazzi",2,30
"User_00398","Bambini e Ragazzi",2,10
"User_00399","Bambini e Ragazzi",1,5
"User_00400","Bambini e Ragazzi",8,454
"User_00401","Bambini e Ragazzi",2,33
"User_00402","Bambini e Ragazzi",2,115
"User_00403","Bambini e Ragazzi",1,40
"User_00404","Bambini e Ragazzi",1,20
"User_00405","Bambini e Ragazzi",1,8
"User_00406","Bambini e Ragazzi",1,56
"User_00407","Bambini e Ragazzi",1,6
"User_00408","Bambini e Ragazzi",1,22
"User_00409","Bambini e Ragazzi",2,13
"User_00410","Bambini e Ragazzi",1,12
"User_00411","Bambini e Ragazzi",1,10
"User_00412","Bambini e Ragazzi",1,2
"User_00413","Bambini e Ragazzi",1,72
"User_00414","Bambini e Ragazzi",1,10
"User_00415","Bambini e Ragazzi",1,10
"User_00416","Bambini e Ragazzi",1,16
"User_00417","Bambini e Ragazzi",1,6
"User_00418","Bambini e Ragazzi",1,10
"User_00419","Bambini e Ragazzi",1,4
"User_00420","Bambini e Ragazzi",1,70
"User_00421","Bambini e Ragazzi",1,6
"User_00422","Bambini e Ragazzi",1,10
"User_00423","Bambini e Ragazzi",1,44
"User_00424","Bambini e Ragazzi",1,20
"User_00425","Bambini e Ragazzi",1,6
"User_00426","Bambini e Ragazzi",1,48
"User_00427","Bambini e Ragazzi",2,4
"User_00428","Bambini e Ragazzi",1,55
"User_00429","Bambini e Ragazzi",1,10
"User_00430","Bambini e Ragazzi",1,8
"User_00431","Bambini e Ragazzi",1,60
"User_00432","Bambini e Ragazzi",1,10
"User_00433","Bambini e Ragazzi",1,36
"User_00434","Bambini e Ragazzi",2,88
"User_00435","Bambini e Ragazzi",5,246
"User_00436","Bambini e Ragazzi",1,3
"User_00437","Bambini e Ragazzi",1,20
"User_00438","Bambini e Ragazzi",1,40
"User_00439","Bambini e Ragazzi",1,5
"User_00440","Bambini e Ragazzi",1,10
"User_00441","Bambini e Ragazzi",1,10
"User_00442","Bambini e Ragazzi",1,34
"User_00443","Bambini e Ragazzi",1,3
"User_00444","Bambini e Ragazzi",1,4
"User_00445","Bambini e Ragazzi",1,54
"User_00446","Bambini e Ragazzi",1,5
"User_00447","Bambini e Ragazzi",3,30
"User_00448","Bambini e Ragazzi",1,15
"User_00449","Bambini e Ragazzi",1,10
"User_00450","Bambini e Ragazzi",1,20
"User_00451","Bambini e Ragazzi",1,24
"User_00452","Bambini e Ragazzi",1,50
"User_00453","Bambini e Ragazzi",1,10
"User_00454","Bambini e Ragazzi",1,40
"User_00455","Bambini e Ragazzi",1,2
"User_00456","Bambini e Ragazzi",1,28
"User_00457","Bambini e Ragazzi",1,4
"User_00458","Bambini e Ragazzi",1,36
"User_00459","Bambini e Ragazzi",1,45
"User_00460","Bambini e Ragazzi",1,4
"User_00461","Bambini e Ragazzi",1,3
"User_00462","Bambini e Ragazzi",1,18
"User_00463","Bambini e Ragazzi",4,256
"User_00464","Bambini e Ragazzi",1,5
"User_00465","Bambini e Ragazzi",1,55
